Years;Stress;Genotypes;Env;Rep;IBLOCK;CAN;NDF;PH;CH;GFD;GY
2019;DI;06AB_52;2019DI;1;1;31.9;86;101;30.4;27;2.96
2019;DI;06AB_62;2019DI;1;1;33;88;103;32.15;26;3.52
2019;DI;06AB_66;2019DI;1;1;33.3;87;92;32;27;2.96
2019;DI;06MN_05;2019DI;1;1;33;87;94;30.75;26;3.04
2019;DI;06MN_72;2019DI;1;1;34.3;87;103;31.65;27;3.12
2019;DI;06MT_12;2019DI;1;1;30.4;86;110;31.15;24;3.68
2019;DI;06MT_46;2019DI;1;1;31.9;88;117;31.65;28;4.08
2019;DI;06N2_17;2019DI;1;1;30.3;87;101;31.25;26;3.52
2019;DI;06N2_91;2019DI;1;1;30.4;89;112;32.25;27;3.28
2019;DI;06N2_96;2019DI;1;1;29.9;88;96;31.4;27;3.2
2019;DI;06WA_25;2019DI;1;1;29.7;88;108;31.9;28;3.28
2019;DI;07AB_15;2019DI;1;1;32.5;88;104;31.25;27;2.72
2019;DI;07AB_29;2019DI;1;1;31;85;102;30.25;26;3.12
2019;DI;07BA_09;2019DI;1;1;33.4;86;98;30.5;27;3.44
2019;DI;07BA_51;2019DI;1;1;29.5;87;107;34.9;26;3.6
2019;DI;07BA_86;2019DI;1;1;29.4;88;108;34.65;25;4.08
2019;DI;07MN_30;2019DI;1;1;32.3;86;96;30.5;26;2.72
2019;DI;07MN_85;2019DI;1;1;33.1;86;95;31.9;27;3.04
2019;DI;07MT_67;2019DI;1;1;30.6;89;110;32.5;28;4.48
2019;DI;07UT_01;2019DI;1;1;33.6;86;115;33.9;27;3.44
2019;DI;07UT_36;2019DI;1;1;31.7;84;120;32.9;27;4.24
2019;DI;07UT_94;2019DI;1;1;34.6;88;117;30.5;25;4.48
2019;DI;08BA_62;2019DI;1;1;33.6;85;101;31.25;27;3.12
2019;DI;08MT_15;2019DI;1;1;28.2;85;111;33.15;24;3.84
2019;DI;08N2_12;2019DI;1;1;30.9;89;107;30;27;3.6
2019;DI;08N2_37;2019DI;1;1;30.8;89;113;33.75;29;3.84
2019;DI;08N2_73;2019DI;1;1;30;89;97;32.75;27;3.44
2019;DI;08N6_61;2019DI;1;1;31.2;86;99;32.15;27;3.12
2019;DI;08WA_30;2019DI;1;1;30.7;87;106;33;26;4.24
2019;DI;08WA_78;2019DI;1;1;29.7;87;108;33.65;27;4.08
2019;DI;09AB_60;2019DI;1;1;31.8;88;108;33.9;27;4.16
2019;DI;09AB_78;2019DI;1;1;31.3;89;108;32.5;27;3.92
2019;DI;09BA_61;2019DI;1;1;32;84;98;29;25;3.04
2019;DI;09BA_68;2019DI;1;1;29.1;88;107;33.5;26;4.08
2019;DI;09MN_64;2019DI;1;1;32.9;87;105;33.15;27;2.96
2019;DI;09N2_03;2019DI;1;1;31.3;87;99;29.5;28;3.28
2019;DI;09N2_63;2019DI;1;1;32.3;88;102;30.4;28;2.88
2019;DI;09N6_59;2019DI;1;1;30.9;86;105;33.65;26;3.2
2019;DI;09N6_66;2019DI;1;1;33.6;86;98;29.75;28;3.52
2019;DI;09UT_27;2019DI;1;1;31.7;85;107;32.9;26;3.6
2019;DI;09UT_45;2019DI;1;1;30.9;86;100;31.5;26;3.44
2019;DI;09WA_16;2019DI;1;1;31.1;87;107;31;26;3.76
2019;DI;09WA_50;2019DI;1;1;32.1;89;117;32;26;3.84
2019;DI;06AB_01;2019DI;1;2;30.2;88;109;31.75;26;4
2019;DI;06MN_10;2019DI;1;2;32.4;86;101;32.75;27;2.4
2019;DI;06MN_43;2019DI;1;2;32.5;87;90;31.65;26;2.8
2019;DI;06MT_44;2019DI;1;2;31.8;88;115;28.75;27;3.84
2019;DI;06MT_78;2019DI;1;2;31.7;87;116;33.4;26;4.24
2019;DI;06MT_91;2019DI;1;2;28.7;88;111;33.75;25;3.76
2019;DI;06N6_22;2019DI;1;2;30.5;86;95;30.75;26;2.16
2019;DI;06N6_27;2019DI;1;2;30.5;86;95;30.5;26;2.8
